yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
12.0,2.0,0.0548169,0.9047099,0.019510215,0.011681887,0.0087651275,2.9263685,14
12.0,3.0,0.027672997,0.9167801,0.0117205605,0.0075423666,0.035917323,2.8394592,21
12.0,4.0,0.021334337,0.94341195,0.01520133,0.009653997,0.010058772,2.8442693,15
12.0,5.0,0.019179493,0.94077414,0.013363818,0.007767154,0.018585458,2.83985,23
12.0,6.0,0.011191367,0.94970524,0.009864289,0.0072227595,0.021780813,2.8368394,16
12.0,7.0,0.019360583,0.94088346,0.014809845,0.009328154,0.015236846,2.8266451,15
12.0,8.0,0.011520191,0.9539126,0.011896437,0.007447001,0.0150006795,2.836838,16
12.0,9.0,0.008162877,0.964361,0.01184327,0.0069910483,0.0084595345,2.846333,20
12.0,10.0,0.013972341,0.92864364,0.006645241,0.00479033,0.04574738,2.8228924,25
12.0,11.0,0.020165665,0.9246767,0.01446357,0.007894441,0.032333564,2.7905865,12
12.0,12.0,0.013926126,0.9446918,0.012026106,0.0072606327,0.02180599,2.825649,40
13.0,1.0,0.2689848,0.6209295,0.03518524,0.019906955,0.053756576,3.4404404,30
13.0,2.0,0.06115859,0.86803275,0.019886179,0.011437711,0.03875234,2.8591232,21
13.0,3.0,0.039793864,0.8960991,0.015785383,0.009793233,0.038006045,2.8271847,27
13.0,4.0,0.03834367,0.90719527,0.018896865,0.011308259,0.023642289,2.8241713,19
13.0,5.0,0.021322923,0.92547566,0.013078693,0.008484448,0.031247059,2.8088996,18
13.0,6.0,0.009499418,0.9565542,0.013528918,0.008068562,0.0121467225,2.8172245,17
13.0,7.0,0.015334972,0.9423495,0.014997682,0.008779692,0.018260531,2.8030896,22
13.0,8.0,0.012749298,0.9527156,0.015126135,0.008471929,0.010664774,2.816184,9
13.0,9.0,0.012381127,0.9355479,0.0116690565,0.0069574304,0.033115182,2.7908764,14
13.0,10.0,0.01290361,0.9321711,0.009569606,0.0061643,0.038911086,2.8014894,26
13.0,11.0,0.015146388,0.93253005,0.016056092,0.009796299,0.026068497,2.7619343,10
13.0,12.0,0.0060421526,0.95450217,0.008486488,0.0052495054,0.025570322,2.8306277,11
13.0,13.0,0.013338089,0.94460124,0.013997701,0.008516725,0.01922329,2.803727,38
14.0,1.0,0.29897705,0.56785095,0.046714503,0.02440324,0.06056066,3.397221,21
14.0,2.0,0.06266926,0.85084176,0.01696907,0.010128311,0.058642235,2.8426557,16
14.0,3.0,0.02971488,0.9244288,0.019569717,0.011234298,0.014563424,2.8107798,15
14.0,4.0,0.024183065,0.9149298,0.015957735,0.009964039,0.034549493,2.7725804,18
14.0,5.0,0.018598262,0.93503815,0.01573921,0.009399846,0.020893121,2.796982,14
14.0,6.0,0.033078853,0.8833773,0.016286947,0.0097092865,0.056820218,2.7389443,15
14.0,7.0,0.014515324,0.9371267,0.015252805,0.0095506,0.02323861,2.7775767,16
14.0,8.0,0.014669563,0.95114756,0.019280659,0.011155022,0.0034410378,2.7876108,14
14.0,9.0,0.01578317,0.93700415,0.017994132,0.010073297,0.01879164,2.765402,16
14.0,10.0,0.013548146,0.924871,0.00990976,0.005998497,0.045383126,2.7822678,18
14.0,11.0,0.016319847,0.9258906,0.014112227,0.008462267,0.034867544,2.7678308,6
14.0,12.0,0.010407254,0.9493001,0.015396171,0.009793545,0.014855732,2.7835534,9
14.0,13.0,0.014214552,0.9215406,0.012686861,0.0076996884,0.04343137,2.7525296,8
14.0,14.0,0.015092262,0.93287504,0.015687425,0.008879736,0.027122656,2.767848,37
