field_position,punt_epa,punt_wpa,opp_td_prob,opp_fg_prob,opp_no_score_prob,touchback_prob,inside_twenty_prob,opp_start_yl100,n
85.0,-0.12033822,0.008388348,0.35333326,0.25544906,0.14894362,0.0,0.004524887,57.755657,221
86.0,-0.08245002,0.00361896,0.35013792,0.2532348,0.15957299,0.0,0.0,57.09934,151
87.0,0.00068471837,0.0054701185,0.35078207,0.25528982,0.16303638,0.0,0.007142857,56.064285,140
88.0,-0.10976692,0.0017004337,0.35103124,0.2595586,0.15858658,0.0,0.014285714,55.885715,140
89.0,-0.3226762,0.00014642203,0.3460343,0.24825972,0.17801107,0.0,0.0,53.090164,122
90.0,-0.2793967,-0.00020392195,0.3565415,0.26089635,0.15905899,0.0,0.017094018,52.94017,117
91.0,-0.22530438,0.0025197193,0.37479228,0.2695109,0.1270423,0.0,0.0,51.649483,97
92.0,-0.20191553,0.016547441,0.3674866,0.2632195,0.14960326,0.0,0.0,50.235294,68
93.0,-0.15265402,0.016601881,0.3749264,0.26799056,0.14122394,0.0,0.0125,50.4875,80
94.0,-0.15110019,0.017504193,0.35265157,0.26012167,0.18337679,0.0,0.0,50.25352,71
95.0,-0.3613288,0.0058856625,0.3754681,0.2977466,0.123240046,0.0,0.0,45.735847,53
96.0,-0.3974812,0.011885727,0.35958317,0.294399,0.15381357,0.0,0.0,45.372547,51
97.0,-0.20230737,-0.012999887,0.3282216,0.28685918,0.20532252,0.0,0.0,47.121212,33
98.0,-0.22458756,0.0051939255,0.3806618,0.279708,0.15843384,0.0,0.0,43.225,40
99.0,-0.04331184,-0.0024100833,0.38409534,0.28469685,0.14492933,0.0,0.0,42.833332,30
