kick_distance,league_make_prob
18,0.9863832979417594
19,0.9849630600080344
20,0.983397182966329
21,0.9816712771344348
22,0.9797696497751048
23,0.9776752130897676
24,0.9753693916381189
25,0.9728320308126137
26,0.9700413084339314
27,0.9669736520420604
28,0.9636036650416411
29,0.9599040655208664
30,0.9558456422980103
31,0.9513972335503634
32,0.9465257342315099
33,0.9411961393591582
34,0.935371631119612
35,0.9290137185339977
36,0.9220824390955971
37,0.9145366322276525
38,0.9063342945167463
39,0.8974330263183549
40,0.8877905783616329
41,0.8773655052431099
42,0.8661179300380555
43,0.8540104205357671
44,0.8410089727228561
45,0.8270840910661802
46,0.8122119479529026
47,0.7963755965290974
48,0.7795662024999895
49,0.761784251751567
50,0.7430406826394496
51,0.7233578853319776
52,0.7027705066479996
53,0.6813259983518237
54,0.6590848506884451
55,0.636120461621809
56,0.6125186059252702
57,0.5883764865859279
58,0.5638013729548658
59,0.5389088541695154
60,0.5138207606090635
61,0.4886628282937752
62,0.463562199010854
63,0.4386448606795447
64,0.41403313679300885
65,0.3898433302206357
66,0.3661836156112417
67,0.3431522572973511
68,0.3208362077787744
69,0.29931011773410393
70,0.27863576430660225
